Years,TrentonPrices,AtlanticCityPrices,VinelandPrices,OceanCityPrices,TrentonIncome,AtlanticCityIncome,VinelandIncome,OceanCityIncome
1/31/2012,224151.6549,181112.9813,138798.113,342613.3327,63994.01387,50706.48925,39751.93795,77370.8771
2/29/2012,223640.2263,181888.3101,138592.8388,343486.3181,63754.22376,50827.19285,39635.18711,77402.33
3/31/2012,223595.3543,183265.7754,139678.4209,344879.9652,64006.68835,51408.78285,40094.41954,78114.01683
4/30/2012,223676.8403,184386.8421,141814.7225,345236.8161,63849.99039,51558.65707,40555.63839,77918.42199
5/31/2012,223363.4494,184814.7633,142995.8739,345712.8311,63309.43769,51295.70065,40580.83172,77316.96415
6/30/2012,222351.3263,184754.4545,142900.8713,346045.3169,62542.04875,50875.60879,40242.91621,76624.35375
7/31/2012,220973.3119,184827.7975,142352.1013,347438.8929,61678.16233,50488.35932,39786.36071,76146.0999
8/31/2012,218991.4486,184809.6793,142514.9157,349194.3787,61358.67468,50658.23026,39963.2747,76838.00731
9/30/2012,217283.7575,184964.2677,143216.7193,351772.4447,60498.90285,50390.13963,39908.72388,76761.72588
10/31/2012,215936.8435,185111.3881,144028.8924,353653.0476,59702.91511,50050.59428,39826.03134,76428.22422
11/30/2012,215417.0093,185505.3107,144099.8074,354860.4724,59452.09077,50051.28678,39767.97765,76485.40212
12/31/2012,214954.5993,185863.4414,143844.602,355558.1384,59306.35825,50119.96171,39686.22592,76585.74739
1/31/2013,214735.1578,186296.7658,142584.5107,356048.455,57926.7548,50489.12643,39129.10563,78353.13027
2/28/2013,214887.3225,186649.8844,141072.7866,356420.7895,58434.95972,50978.25635,39046.66055,79190.6455
3/31/2013,215827.1432,186854.4481,139845.1834,355953.0125,58819.65488,51140.96991,38814.31887,79301.91741
4/30/2013,217310.6641,186700.3382,139768.2156,355450.0545,58753.03998,50718.92238,38508.5308,78454.47056
5/31/2013,219216.3131,186445.7115,140332.897,354925.8066,59613.93345,50982.82413,38900.47779,78951.62243
6/30/2013,220689.6075,186059.0539,140908.5678,354367.2554,62156.9605,52700.6204,40423.84676,82288.70152
7/31/2013,221606.0841,186119.8465,140946.0359,354396.2369,63662.08584,53776.30839,41236.71753,84301.63348
8/31/2013,222101.1934,186489.0476,141281.5917,355224.4344,64175.48575,54190.79564,41567.06621,85080.2528
9/30/2013,222687.0783,187361.589,141387.3029,357579.7008,64496.47936,54567.57897,41702.52325,85869.41646
10/31/2013,223310.9956,188294.6653,142067.6381,359756.316,63431.66529,53764.07057,41091.85418,84346.16704
11/30/2013,223921.3408,188817.8668,142278.4618,360668.5853,63876.46491,54127.6619,41317.72381,84976.26727
12/31/2013,224352.3449,189097.3597,142337.5397,360816.7892,64866.63561,54933.98218,41884.71613,86398.43921
1/31/2014,225146.2565,189262.4348,141799.0111,361025.4576,65253.88103,55073.78683,42032.82236,82784.1369
2/28/2014,226531.0343,189815.8237,141439.6169,362035.7923,65165.59238,54768.04365,41594.1867,82128.2694
3/31/2014,228723.9427,190291.2111,141496.4979,363102.0659,66028.771,55039.14222,41716.23819,82630.48284
4/30/2014,230791.7815,190757.6536,142023.2253,363557.6435,66662.53178,55166.45062,41862.58266,82717.47052
5/31/2014,232728.5887,191243.3126,142256.9377,363539.9674,66650.12961,54789.2843,41549.23627,81738.01319
6/30/2014,233589.2107,191501.7133,141904.3705,362461.403,66844.77696,54760.67301,41381.54927,81318.46693
7/31/2014,234116.4528,191514.8964,141333.0615,361631.1944,66938.86504,54665.81654,41154.98828,80944.35773
8/31/2014,233782.8471,191547.2264,141038.7509,361239.4717,66877.27261,54624.88886,41039.15742,80765.40349
9/30/2014,233367.7575,191654.1065,141089.5905,361964.9112,67062.28751,54849.88404,41198.93304,81270.83573
10/31/2014,232635.2413,191578.4266,141082.217,362942.1052,66411.75865,54379.87443,40865.65722,80625.85358
11/30/2014,231790.5572,191214.6874,141107.4566,363781.4241,66111.37713,54149.82344,40773.63214,80545.54762
12/31/2014,231291.502,190752.3164,141052.9368,364570.739,65504.47255,53564.19852,40416.19075,79821.15614
1/31/2015,230922.4753,190279.43,140383.2272,364124.2973,64776.05075,53487.22354,39804.32288,78695.39677
2/28/2015,230984.0311,189919.6106,139349.2399,363091.1988,64902.07365,53528.75281,39632.46244,78745.34596
3/31/2015,231411.2076,189799.8208,138862.2449,361204.3998,65202.87916,53709.8776,39660.16333,78759.83211
4/30/2015,232081.1323,189396.3041,139441.2527,359790.4206,64906.05018,53275.18788,39571.48335,77839.42853
5/31/2015,233080.0589,189053.2596,140646.2667,359214.8944,65815.67803,53778.11396,40328.94166,78836.84695
6/30/2015,233686.1805,188452.1173,141391.2682,358775.552,66525.92621,54131.43785,40911.49608,79707.00328
7/31/2015,234157.8793,188256.4846,141900.8133,359106.7633,66863.37233,54325.26452,41234.22738,80227.4047
8/31/2015,234550.6295,188088.5062,142499.7898,360072.3229,66296.41363,53793.69254,41026.84154,79497.84114
9/30/2015,234935.7852,188125.2563,143102.0022,362170.226,66273.04411,53792.55584,41180.01549,79883.01924
10/31/2015,235511.8025,188111.3485,143625.8469,365018.7908,65958.4889,53467.81574,41074.39703,79850.21925
11/30/2015,235970.9752,187642.3508,143622.603,367108.9803,66651.02922,53851.17733,41461.57181,81269.42355
12/31/2015,236482.9679,186977.4705,143913.5249,368884.7391,66817.85346,53750.19452,41597.74832,81788.15654
1/31/2016,237043.4588,186455.5856,144247.6353,369801.9575,66097.67138,54686.69811,41650.58047,81139.64315
2/29/2016,237642.6828,185722.9403,144484.562,370642.4861,65372.75223,53771.8551,41157.36324,79884.12242
3/31/2016,238191.6239,184681.6362,144212.8771,370840.6889,65699.16183,53625.37303,41189.63705,80175.27599
4/30/2016,238713.6837,183411.26,143897.1608,370586.9979,65488.07822,52991.18887,40876.74681,79530.95171
5/31/2016,239136.888,182600.1463,143649.4447,370480.9001,65613.56507,52763.76532,40803.37901,79483.13277
6/30/2016,239856.9558,182044.1625,143495.6651,370297.8982,65698.18134,52522.21136,40689.69316,79247.18839
7/31/2016,240498.5762,181458.8869,143357.0681,370290.5892,65351.20189,51953.07944,40327.06681,78401.15831
8/31/2016,241125.2483,180252.2959,143313.1079,369996.9598,65527.51506,51633.60427,40315.10821,78328.27706
9/30/2016,241365.523,178351.8714,143435.615,370097.7985,65732.66501,51164.03222,40374.13036,78457.66614
10/31/2016,241487.2675,176349.3223,143744.8132,371420.3716,65844.4151,50665.3094,40480.10798,78787.4976
11/30/2016,241831.8611,174781.0357,144138.6001,373327.3397,67275.26957,51197.80203,41364.12742,81189.08542
12/31/2016,242506.2498,174234.2845,144662.9036,375756.8343,69402.06174,52426.26863,42645.91073,84653.12115
1/31/2017,242709.2387,174005.898,144461.5517,377046.2631,68906.00787,52312.93306,42645.65715,84489.5681
2/28/2017,242513.9424,173900.7438,144282.3398,377825.9318,68913.85697,52344.29563,42646.68965,84782.37164
3/31/2017,242122.3116,173744.6501,144032.4526,377716.9069,68916.7329,52393.24605,42654.78764,84960.09624
4/30/2017,242674.1562,173928.3104,144276.956,378483.9288,68363.25993,51948.52562,42310.90648,84051.62139
5/31/2017,243641.6629,174344.8107,144094.421,380074.4041,68441.34587,51966.2531,42180.29259,84157.74962
6/30/2017,244754.9349,175041.5527,143763.2015,382235.2434,68238.31888,51838.08709,41826.87965,83889.37075
7/31/2017,245453.697,175822.4052,143631.3041,383962.4882,68687.25345,52258.63017,41960.48257,84697.3715
8/31/2017,245545.8297,176845.3128,144033.409,385213.8478,68296.03988,52255.34025,41837.80085,84339.12198
9/30/2017,245579.8006,177844.4391,144456.4215,386110.9937,67948.14518,52276.60705,41747.48905,83986.33999
10/31/2017,246054.8934,179003.2087,144632.1697,387150.1882,68455.75707,52899.29695,42043.03392,84852.57252
11/30/2017,247562.9373,180187.3595,144370.3732,388242.5666,68953.98129,53313.986,42045.62834,85273.20122
12/31/2017,249096.3526,180946.7532,143999.0636,389641.0064,69464.49858,53616.86538,42021.16282,85766.04222
1/31/2018,250356.5282,181184.9321,143691.4052,390737.4565,69775.25132,52328.31322,42508.95336,85043.78425
2/28/2018,251001.6451,180986.5976,143365.9384,391273.12,71351.16334,53283.77267,43218.49895,87330.04719
3/31/2018,252057.7901,181289.5703,143047.9645,391884.7698,72192.27878,53760.51313,43440.66389,88307.56408
4/30/2018,253085.4099,181734.5678,141877.1127,392935.2968,72597.53289,53981.13644,43187.76048,88727.43067
5/31/2018,254199.2823,182460.3426,140825.0849,394893.0794,73487.97326,54598.22622,43213.27542,90043.77824
6/30/2018,254811.622,183268.9423,139854.2933,396365.4583,73591.61455,54766.32323,42894.41893,90240.56148
7/31/2018,255576.7372,184710.545,140233.0934,397922.9509,73608.07872,55021.57265,42892.97602,90260.82862
8/31/2018,256001.6715,186445.1542,141186.8016,399114.4173,73848.02055,55580.32727,43223.7071,90687.88669
9/30/2018,256120.2953,188009.9179,142097.6674,400838.8097,74273.5972,56301.1228,43700.24673,91664.26783
10/31/2018,255727.1592,189321.1842,142400.9652,402492.693,75177.52742,57408.0405,44345.32904,93597.47858
11/30/2018,255831.4899,190492.4363,142346.1969,404065.543,75399.02575,57853.65156,44415.15748,94205.82387
12/31/2018,256363.454,191617.9571,142311.2087,405289.7532,74431.872,57330.94771,43780.79595,92694.95648
1/31/2019,257441.3058,192893.6559,143181.769,406445.0621,73577.619,55617.02849,42887.08262,90882.7177
2/28/2019,258494.0044,194516.7245,144785.0362,408053.4377,73422.14146,55712.83335,43080.4319,90506.86018
3/31/2019,259746.776,196458.7403,146601.0844,409851.7722,73267.38007,55844.53492,43294.50355,90079.72312
4/30/2019,261038.7091,198199.5695,147931.8163,411665.2353,73035.50902,55867.41375,43333.85632,89535.72056
5/31/2019,262170.8909,199294.2809,148149.9798,412650.6326,73013.29141,55917.86267,43218.90962,89228.20017
6/30/2019,263155.8165,200143.0247,148301.4784,413729.3816,71990.20657,55149.35369,42526.9203,87402.17679
7/31/2019,263561.6388,200798.4048,147868.615,414642.6785,71936.9089,55187.28538,42317.3569,87310.66323
8/31/2019,263748.4969,201579.5474,147538.6702,416063.7784,71296.01467,54850.50837,41838.57448,86481.10365
9/30/2019,263701.523,202243.6378,147089.063,417591.4041,71253.01612,54973.74677,41688.73545,86693.45635
10/31/2019,264164.5254,203285.9458,147289.4037,419956.4482,71788.12873,55544.11086,41964.67477,87790.15029
11/30/2019,265209.8236,204743.1341,148222.3712,422077.6048,72110.36788,55938.71831,42228.84176,88262.38463
12/31/2019,266703.5825,206322.9407,149644.1039,424092.339,72635.42154,56441.74989,42678.34772,88863.93872
1/31/2020,268242.2811,207914.3797,151490.4326,426083.9996,71389.08049,55912.22006,42647.31942,88758.24819
2/29/2020,269821.1297,209212.4045,153224.6769,429403.2608,71024.94927,55643.50353,42665.15052,88193.05649
3/31/2020,272003.589,210914.6341,154982.7456,433511.8314,71502.27252,56016.06747,43083.80986,88885.81303
4/30/2020,274344.2494,212579.8075,157009.7877,437557.9446,71390.56457,55885.29598,43205.89116,88555.66241
5/31/2020,275738.8128,213713.484,158623.1352,440580.9916,71385.22743,55896.70932,43420.66041,88577.96147
6/30/2020,275965.5815,214155.62,159582.9103,442143.162,71111.92873,55741.44432,43468.23594,88332.99522
7/31/2020,275877.8646,214405.6821,159228.6014,443466.7017,70398.63479,55260.06003,42976.86254,87458.98092
8/31/2020,276243.6154,215593.6932,158896.904,445506.1904,70110.64651,55242.3998,42672.37357,87216.86248
9/30/2020,278029.6954,217995.6061,159465.6562,449783.549,70331.08035,55660.87344,42704.11645,87680.60286
10/31/2020,280500.7433,221579.8819,160954.9747,456506.4075,70659.24317,56295.48545,42918.40572,88480.40848
11/30/2020,284173.2252,226005.1555,163316.8232,465257.013,71203.71024,57071.28136,43308.54633,89535.59296
12/31/2020,287624.1509,230755.974,165995.968,475545.3324,71631.45581,57884.64757,43751.6513,90775.286
1/31/2021,290891.5297,235081.8829,169223.7124,485594.246,70006.159,56180.05682,41365.39043,90159.59667
2/28/2021,293986.5888,239424.5889,172732.2098,495360.1972,71061.67069,57443.49561,42373.40882,92501.44411
3/31/2021,296990.5752,243312.3649,176071.1692,505226.2654,73115.57199,59450.17285,43955.49823,96614.19432
4/30/2021,300583.8815,247334.0363,179168.3973,516231.1211,73812.07721,60276.83968,44608.69073,98420.58153
5/31/2021,304722.6523,251407.2637,182058.1066,529617.0333,74236.89311,60788.72173,44977.67391,99965.56381
6/30/2021,309504.445,255902.4479,185345.6343,542953.1701,75382.83833,61849.67109,45765.63164,102467.0809
7/31/2021,314045.0054,260461.9344,188703.0955,555711.9849,75830.41655,62394.00123,46184.92821,103732.0206
8/31/2021,317499.1596,264618.0249,191375.649,565819.8822,76460.30364,63212.54649,46713.12916,105287.9543
9/30/2021,319774.4117,267842.1042,193061.2808,575201.8613,77273.68382,64211.1885,47298.16968,107536.0243
10/31/2021,321497.5855,270626.7846,194102.1333,584115.1897,78576.34912,65619.57158,48098.32867,110815.3015
11/30/2021,323524.8007,273461.5351,195680.6841,593371.782,79026.70109,66260.00871,48460.4613,112488.8697
12/31/2021,326292.7173,276717.7946,197050.3122,602120.0163,79820.64604,67143.8732,48879.72292,114390.6776
1/31/2022,329610.381,280049.8742,199292.2617,610811.6714,79925.03883,67224.53153,50095.12916,117604.3237
2/28/2022,333649.3247,283500.6879,201920.946,619868.8792,82790.53622,69622.03617,51867.06792,122816.3493
3/31/2022,338361.6148,287378.7425,205265.3937,629550.0122,86486.74809,72701.31164,54233.03771,129423.9393
4/30/2022,343528.2668,291796.8846,208329.9413,640399.8664,93094.02219,78270.76596,58218.0129,141480.4709
5/31/2022,348580.2225,296162.7591,211064.7953,651728.6048,96132.59881,80836.35426,59978.79297,147086.2284
6/30/2022,352476.5734,299833.834,213456.7467,661891.6981,99246.53744,83536.90216,61867.80961,153162.5119
7/31/2022,354596.6561,301861.7826,214317.0317,666161.6501,99074.33791,83413.15196,61635.31487,152658.9502
8/31/2022,354576.1866,301907.5287,213790.9686,663388.0274,97764.00055,82288.91633,60687.9656,149542.9287
9/30/2022,353732.1208,301244.8793,213044.9366,657018.5143,103944.9712,87563.34705,64340.77686,160011.3337
10/31/2022,353135.0664,301241.0622,213505.4891,652128.0731,109669.0611,92520.3843,67983.79924,169628.7627
11/30/2022,353194.6105,302003.3757,214514.6718,649439.3408,109004.006,92142.17324,67862.9258,167645.5421
12/31/2022,353924.9746,303004.8848,215366.7282,647971.024,105958.6129,89634.54501,66131.42868,161269.994
1/31/2023,355922.5152,305115.4193,216984.7216,648026.0951,103207.4625,87836.1782,64128.60231,160198.6181
2/28/2023,358708.1502,307534.0405,219082.6111,650036.619,103872.4986,88406.99066,64651.30733,160482.1721
3/31/2023,362647.9764,310612.6551,221640.6404,653788.2374,107172.7759,91144.17885,66721.35822,165339.8377
4/30/2023,367070.7438,313134.5128,223502.7193,658017.0306,106884.2377,90536.68367,66317.55496,163607.108
5/31/2023,371911.9355,315914.6867,225471.0968,662109.6701,108933.0007,91901.69423,67303.45987,165800.3721
6/30/2023,376025.5103,318878.1295,227605.1745,666371.1275,112427.6047,94712.48351,69331.36362,170951.9051
7/31/2023,379250.4071,321724.456,229637.4446,669598.3543,114380.3824,96392.17728,70543.86054,173563.5261
8/31/2023,382427.9375,324821.8842,231521.509,672504.8182,117211.0807,98902.05306,72252.58933,177650.4701
9/30/2023,385727.9103,327790.2145,232774.8687,674285.4457,119363.9151,100780.62,73353.9453,180100.8126
10/31/2023,388544.7873,330224.9166,234110.4339,675953.2821,123766.3558,104526.3024,75903.25623,186735.1629
11/30/2023,390644.9958,332347.4102,235089.0147,676946.8762,122954.9617,103938.2361,75340.24656,184437.9426
12/31/2023,392444.1807,333853.3729,235729.0933,678139.1752,118192.2068,99874.79975,72349.22752,175578.3916
1/31/2024,394817.7163,335448.8438,235330.9158,678888.1622,119949.9418,,,
2/29/2024,398650.361,337647.5478,235532.098,681057.4617,122239.0659,,,
3/31/2024,403194.9633,340661.3698,237079.232,684553.4483,123997.2435,,,
4/30/2024,407495.2548,344231.5417,239905.9018,689452.2248,126866.5625,,,
5/31/2024,409795.7137,347140.7209,242687.9635,692891.1387,128170.9572,,,
6/30/2024,411103.7758,349448.4726,244866.9019,694832.2663,127310.4711,,,
7/31/2024,412667.2858,351004.3292,246766.9315,696074.1109,127170.8345,,,
8/31/2024,415255.1952,352812.0977,248205.5906,698768.7995,124877.2856,,,
9/30/2024,417806.6563,354652.4488,249411.482,703533.6476,123035.9626,,,
10/31/2024,419864.4706,356800.7148,250391.4971,708108.9631,125789.794,,,
11/30/2024,420935.5985,358286.4314,251401.1881,711380.0828,129456.7464,,,
12/31/2024,421906.2613,359531.0882,252185.8779,712706.3398,128934.9243,,,
